id,event,day,instance,enrollmentgroup,completed,date,time,time_participant,time_interval,positive_score,negative_score,positive_SD,negative_SD,positive_mean,negative_mean
12015,1,1,1,1,1,7/1/2021,7:06:29 AM,7:06:29 AM,,15,15,,,14,17.2
12015,2,5,6,1,1,8/13/2021,8:08:02 AM,8:08:02 AM,,22,19,10,7,16.2,16.2
12015,1,3,11,1,1,7/3/2021,7:16:19 AM,7:16:19 AM,,16,11,4,2,14.6,15.8
12015,2,4,1,1,1,8/12/2021,8:04:09 AM,8:04:09 AM,,14,17,1,6,15,13.75
12015,2,6,11,1,1,8/14/2021,8:21:38 AM,8:21:38 AM,,13,12,1,1,16.25,13.75
12015,3,9,11,1,1,9/18/2021,8:02:53 AM,8:02:53 AM,8:02:53,15,12,15,12,14.5,11.75
12015,3,7,1,1,0,,,,,,,12,11,19.25,13
12015,3,8,6,1,1,9/17/2021,8:18:27 AM,8:18:27 AM,8:18:27,17,13,17,13,18.33333333,16
12015,1,2,6,1,1,7/2/2021,7:48:12 AM,7:48:12 AM,,22,13,11,2,19,13.33333333
12016,2,5,6,1,1,8/27/2021,8:40:24 AM,8:40:24 AM,,10,14,0,3,10.6,18.2
12016,2,4,1,1,1,8/26/2021,8:28:08 AM,8:28:08 AM,,11,17,1,6,12,17.8
12016,1,2,6,1,1,7/12/2021,8:09:12 AM,8:09:12 AM,,17,12,6,1,15.66666667,12.33333333
12016,1,3,11,1,1,7/13/2021,9:27:07 AM,9:27:07 AM,,13,11,3,0,14.2,12
12016,2,6,11,1,1,8/28/2021,8:31:13 AM,8:31:13 AM,,18,14,8,2,14,13.6
12016,1,1,1,1,1,7/11/2021,7:59:56 AM,7:59:56 AM,,15,12,2,0,14,13.2
12016,3,8,6,1,1,9/24/2021,8:00:54 AM,8:00:54 AM,,18,12,1,0,15.5,12
12016,3,9,11,1,1,9/25/2021,8:22:14 AM,8:22:14 AM,,18,12,8,0,17.5,12.5
12016,3,7,1,1,1,9/23/2021,8:47:22 AM,8:47:22 AM,,26,14,15,1,24.2,14
12017,3,8,6,0,1,9/17/2021,10:17:51 AM,8:17:51 AM,,15,11,1,1,15.2,14
12017,2,6,11,0,1,8/14/2021,9:39:10 AM,7:39:10 AM,,16,13,5,0,15.2,14.8
12017,3,9,11,0,1,9/18/2021,11:03:20 AM,9:03:20 AM,9:03:20,19,18,19,18,15.4,19.2
12017,2,4,1,0,1,8/12/2021,10:42:45 AM,8:42:45 AM,,19,12,0,1,17.8,12
12017,2,5,6,0,1,8/13/2021,10:56:24 AM,8:56:24 AM,,16,12,6,1,17.4,12.2
12017,1,3,11,0,0,,,,,,,15,12,14.33333333,11.66666667
12017,3,7,1,0,1,9/16/2021,9:20:05 AM,7:20:05 AM,,14,12,4,1,13.25,18.5
12017,1,1,1,0,0,,,,,,,18,12,19.66666667,18.33333333
12017,1,2,6,0,0,,,,,,,16,16,17.75,17
12018,2,5,6,1,1,8/14/2021,10:58:22 PM,8:58:22 PM,20:58:22,16,11,16,11,16,11
12018,2,4,1,1,1,8/12/2021,10:10:46 AM,8:10:46 AM,,28,12,8,15,28.75,19
12018,3,9,11,1,0,,,,,,,31,12,33,14
12018,3,8,6,1,0,,,,,,,0,0,28.25,16.25
12018,3,7,1,1,1,9/2/2021,11:40:50 AM,9:40:50 AM,9:40:50,32,14,32,14,33.33333333,17.66666667
12018,1,1,1,1,1,7/1/2021,8:29:40 AM,6:29:40 AM,,37,17,25,6,35.25,18
12018,1,3,11,1,0,,,,,,,0,0,40.66666667,19
12018,1,2,6,1,0,,,,,,,0,0,25,29
12019,3,8,6,0,0,,,,,,,15,16,17.25,12
12019,3,7,1,0,0,,,,,,,15,22,18.66666667,14
12019,2,4,1,0,1,8/29/2021,12:07:56 PM,12:07:56 PM,,18,18,12,5,17.8,14.6
12019,1,3,11,0,1,7/20/2021,7:26:43 AM,7:26:43 AM,,10,35,11,14,18.2,20.8
12019,2,5,6,0,1,8/30/2021,10:15:24 AM,10:15:24 AM,,24,19,4,2,21,17.6
12019,3,9,11,0,0,,,,,,,17,14,23.25,17.5
12019,1,2,6,0,1,7/19/2021,8:26:46 AM,8:26:46 AM,,17,25,10,0,21.8,16.8
12019,2,6,11,0,1,8/31/2021,8:54:13 AM,8:54:13 AM,,32,24,11,5,28,19.5
12019,1,1,1,0,1,7/18/2021,11:26:09 AM,11:26:09 AM,11:26:09,28,16,28,16,29,25
12020,2,5,6,1,1,8/23/2021,8:48:48 AM,8:48:48 AM,,13,17,8,9,14,16
12020,2,6,11,1,1,8/24/2021,9:03:40 AM,9:03:40 AM,,14,15,2,4,17.75,17
12020,1,3,11,1,1,7/13/2021,8:57:54 AM,8:57:54 AM,,22,21,0,7,20.25,24
12020,1,2,6,1,1,7/12/2021,9:47:01 AM,9:47:01 AM,9:47:01,22,19,22,19,21.8,17.2
12020,2,4,1,1,1,8/22/2021,8:33:18 AM,8:33:18 AM,,21,19,2,6,24,16.4
12020,3,8,6,1,1,9/20/2021,9:15:47 AM,9:15:47 AM,,21,25,7,2,24,15.4
12020,3,9,11,1,1,9/21/2021,8:14:45 AM,8:14:45 AM,,28,16,5,2,25,17.6
12020,3,7,1,1,1,9/19/2021,9:00:56 AM,9:00:56 AM,,30,29,10,9,28.5,17.75
12020,1,1,1,1,1,7/11/2021,12:00:11 PM,12:00:11 PM,,29,22,12,9,30.8,21.8
12021,3,9,11,0,1,9/25/2021,8:07:44 AM,8:07:44 AM,,12,12,0,1,12.2,16.6
12021,2,6,11,0,1,8/28/2021,7:56:08 AM,7:56:08 AM,,12,11,1,0,14.33333333,12
12021,2,5,6,0,1,8/27/2021,7:44:47 AM,7:44:47 AM,,13,11,1,1,13.75,13.5
12021,3,8,6,0,1,9/24/2021,7:55:11 AM,7:55:11 AM,,12,12,3,4,13.75,13.75
12021,1,3,11,0,1,7/17/2021,7:53:10 AM,7:53:10 AM,,14,12,0,1,15.2,15.2
12021,2,4,1,0,1,8/26/2021,8:13:54 AM,8:13:54 AM,,15,13,2,7,16.2,16.4
12021,3,7,1,0,1,9/23/2021,9:31:19 AM,9:31:19 AM,,16,15,3,3,14.2,18.4
12021,1,1,1,0,1,7/15/2021,8:35:38 AM,8:35:38 AM,,17,15,0,3,18.5,16.5
12021,1,2,6,0,1,7/16/2021,8:46:48 AM,8:46:48 AM,,16,11,1,1,13.5,18.75
12022,1,1,1,0,0,,,,,,,12,11,14,12
12022,1,2,6,0,1,7/23/2021,7:51:13 AM,8:51:13 AM,,16,21,2,2,16.6,18.2
12022,2,4,1,0,1,8/26/2021,8:34:29 AM,9:34:29 AM,9:34:29,26,29,26,29,21.6,20.6
12022,3,7,1,0,1,9/23/2021,7:26:24 AM,8:26:24 AM,,22,22,6,3,24.4,17.6
12022,3,9,11,0,1,9/25/2021,8:25:53 AM,9:25:53 AM,9:25:53,25,21,25,21,26.8,15.6
12022,2,5,6,0,1,8/27/2021,6:27:53 AM,7:27:53 AM,,29,24,7,2,31.2,17.2
12022,3,8,6,0,0,,,,,,,27,21,31,24.75
12022,2,6,11,0,1,8/28/2021,6:16:35 AM,7:16:35 AM,,32,21,8,2,33.25,15.25
12023,1,3,11,1,1,9/14/2021,9:59:03 AM,9:59:03 AM,,19,14,1,4,19.5,23.75
12023,3,9,11,1,1,12/18/2021,8:36:18 AM,8:36:18 AM,,24,13,1,2,23.25,15.25
12023,3,7,1,1,1,12/16/2021,8:42:51 AM,8:42:51 AM,,24,12,3,0,21.2,19
12023,1,2,6,1,1,9/13/2021,9:07:58 AM,9:07:58 AM,,26,12,0,0,21,15.25
12023,3,8,6,1,1,12/17/2021,8:37:33 AM,8:37:33 AM,,25,12,2,0,24.4,13.6
12023,2,4,1,1,1,10/17/2021,7:54:06 AM,7:54:06 AM,,27,12,6,0,22.4,16.2
12023,2,5,6,1,1,10/18/2021,9:18:06 AM,9:18:06 AM,,24,14,4,3,22.8,17.4
12023,1,1,1,1,1,9/12/2021,10:22:46 AM,10:22:46 AM,10:22:46,24,14,24,14,26.8,15.8
12023,2,6,11,1,1,10/19/2021,9:02:07 AM,9:02:07 AM,,28,12,7,1,25.6,17.2
12024,2,4,1,1,1,10/16/2021,6:54:24 PM,8:54:24 AM,,10,26,3,14,14.8,17.8
12024,1,3,11,1,1,9/13/2021,7:54:48 PM,9:54:48 AM,,14,30,4,19,14.5,22
12024,3,7,1,1,1,11/27/2021,8:55:42 PM,10:55:42 AM,,15,25,1,14,16.75,21
12024,3,8,6,1,1,11/28/2021,7:36:49 PM,9:36:49 AM,,23,17,7,4,23.2,17.6
12024,2,5,6,1,1,10/17/2021,8:06:57 PM,10:06:57 AM,,10,32,3,9,21.6,19
12024,3,9,11,1,1,11/29/2021,7:54:58 PM,9:54:58 AM,,20,15,6,4,24.4,17.4
12024,1,2,6,1,1,9/12/2021,7:55:21 PM,9:55:21 AM,,21,21,5,4,29.4,17.8
12024,1,1,1,1,1,9/11/2021,7:38:33 PM,9:38:33 AM,9:38:33,22,17,22,17,31,15.6
12024,2,6,11,1,1,10/18/2021,8:14:35 PM,10:14:35 AM,,33,14,0,1,27.5,15.5
12025,2,4,1,0,1,10/17/2021,9:58:51 AM,7:58:51 AM,,16,23,3,11,14.6,14.8
12025,3,9,11,0,0,,,,,,,13,11,18.5,16.25
12025,3,8,6,0,1,11/22/2021,10:26:09 AM,8:26:09 AM,8:26:09,20,12,20,12,18,12.25
12025,2,6,11,0,1,10/19/2021,10:50:03 AM,8:50:03 AM,,18,13,2,1,17.66666667,17.33333333
12025,1,2,6,0,0,,,,,,,15,13,17,13
12025,2,5,6,0,1,10/18/2021,9:06:14 AM,7:06:14 AM,,16,11,3,0,17.5,12
12025,1,1,1,0,1,9/12/2021,9:58:21 AM,7:58:21 AM,,21,15,0,2,20.2,14.8
12025,1,3,11,0,1,9/14/2021,10:37:58 AM,8:37:58 AM,,24,13,6,1,22.75,15.5
12025,3,7,1,0,1,11/21/2021,9:59:53 AM,7:59:53 AM,,27,13,8,1,25.8,15.2
12026,2,4,1,1,1,10/17/2021,10:13:39 AM,10:13:39 AM,10:13:39,18,14,18,14,19,16.5
12026,3,7,1,1,1,12/2/2021,6:11:43 PM,6:11:43 PM,18:11:43,19,20,19,20,19,20
12026,3,9,11,1,1,12/4/2021,2:07:16 PM,2:07:16 PM,14:07:16,22,14,22,14,22,14
12026,2,6,11,1,1,10/19/2021,6:14:42 AM,6:14:42 AM,6:14:42,22,13,22,13,25.6,14.4
12026,3,8,6,1,1,12/3/2021,1:43:06 PM,1:43:06 PM,13:43:06,30,12,30,12,30.2,15.2
12026,1,1,1,1,1,9/12/2021,11:45:48 AM,11:45:48 AM,,31,16,18,5,32.4,17.2
12026,1,2,6,1,1,9/13/2021,9:27:16 AM,9:27:16 AM,,32,15,6,2,33.6,16.8
12026,1,3,11,1,1,9/14/2021,9:53:06 AM,9:53:06 AM,9:53:06,29,36,29,36,30.8,21.4
12027,1,2,6,0,1,9/13/2021,8:53:25 AM,8:53:25 AM,,29,13,9,1,26.2,16
12027,1,1,1,0,1,9/12/2021,8:09:17 AM,8:09:17 AM,8:09:17,35,15,35,15,27.4,15.6
12027,2,6,11,0,1,10/19/2021,8:47:54 AM,8:47:54 AM,8:47:54,36,14,36,14,32,19.6
12027,3,9,11,0,1,11/23/2021,7:54:41 AM,7:54:41 AM,7:54:41,37,14,37,14,31.6,17.2
12027,2,5,6,0,1,10/18/2021,8:46:34 AM,8:46:34 AM,8:46:34,31,13,31,13,30.5,15.75
12027,1,3,11,0,1,9/14/2021,8:56:43 AM,8:56:43 AM,,39,14,18,2,30.75,16.5
12027,3,8,6,0,1,11/22/2021,9:12:23 AM,9:12:23 AM,,33,14,13,1,32.75,16.25
12027,2,4,1,0,1,10/17/2021,8:37:21 AM,8:37:21 AM,,33,14,15,4,32.66666667,16.66666667
12027,3,7,1,0,1,11/21/2021,8:39:16 AM,8:39:16 AM,,38,14,18,2,35,17.4
12028,1,3,11,0,1,9/21/2021,8:02:28 AM,9:02:28 AM,,10,14,0,0,10.6,14.2
12028,1,2,6,0,1,9/20/2021,7:01:17 AM,8:01:17 AM,,10,14,0,0,12.25,17.75
12028,2,4,1,0,0,,,,,,,12,11,16.33333333,13
12028,1,1,1,0,0,,,,,,,21,12,16,12.75
12028,2,5,6,0,1,10/18/2021,8:15:07 AM,9:15:07 AM,,13,12,2,3,14.6,12.2
12028,2,6,11,0,1,10/19/2021,6:16:25 AM,7:16:25 AM,,14,11,3,2,14.8,13.2
12028,3,8,6,0,1,11/22/2021,7:09:40 AM,8:09:40 AM,,14,12,1,0,17.2,12.2
12028,3,9,11,0,1,11/23/2021,8:17:42 AM,9:17:42 AM,,20,12,4,1,16.5,12.25
12028,3,7,1,0,0,,,,,,,15,11,12.66666667,21.33333333
12029,2,5,6,0,1,10/22/2021,6:23:15 AM,7:23:15 AM,,21,14,3,2,20.8,16.2
12029,3,8,6,0,1,11/19/2021,7:57:23 AM,8:57:23 AM,,28,20,7,3,24.8,17
12029,1,1,1,0,1,9/23/2021,6:12:44 AM,7:12:44 AM,,32,21,17,9,30.75,21.5
12029,3,7,1,0,1,11/18/2021,7:04:40 AM,8:04:40 AM,,33,15,13,2,31.6,16.6
12029,2,4,1,0,1,10/21/2021,7:30:42 AM,8:30:42 AM,,34,18,16,6,34.2,17.2
12029,2,6,11,0,1,10/23/2021,7:23:01 AM,8:23:01 AM,,36,15,14,2,31.4,17.6
12029,3,9,11,0,1,11/20/2021,6:03:54 AM,7:03:54 AM,,31,13,11,1,30.75,14.75
12029,1,3,11,0,1,9/25/2021,7:59:24 AM,8:59:24 AM,,32,16,7,0,32.6,16.2
12029,1,2,6,0,1,9/24/2021,6:33:51 AM,7:33:51 AM,,33,15,12,4,32.75,16.25
12030,1,2,6,0,1,9/27/2021,7:47:40 AM,8:47:40 AM,,17,14,1,6,17.5,16.5
12030,1,1,1,0,1,9/26/2021,10:17:54 AM,11:17:54 AM,,27,17,3,5,20,22.75
12030,1,3,11,0,1,9/28/2021,8:53:54 AM,9:53:54 AM,9:53:54,25,13,25,13,30,17.4
12030,2,5,6,0,1,10/18/2021,8:34:11 AM,9:34:11 AM,,30,13,9,0,33.4,19.4
12030,2,4,1,0,1,10/17/2021,6:27:45 AM,7:27:45 AM,7:27:45,30,13,30,13,34.33333333,16.5
12030,3,9,11,0,1,11/23/2021,8:07:00 AM,9:07:00 AM,,43,21,15,4,36.75,21.5
12030,3,8,6,0,1,11/22/2021,6:33:06 AM,7:33:06 AM,,49,16,1,2,33.4,20
